year,trade_value,avg_tariff_rate,unemployment_rate,exchange_rate_mxn,exchange_rate_cad,cpi,gdp_growth,country_Canada,country_Mexico,trade_value_lag1,trade_value_lag2,trade_value_rolling3,trade_growth_pct,tariff_change,tariff_change_pct,cpi_change,mxn_change,cad_change,trade_acceleration,tariff_cpi_interaction,economic_pressure,tariff_mxn_interaction,tariff_cad_interaction
2012,277.593639546,9.28,6.708333333333333,13.15389203187251,0.999493625498008,229.5860833333333,1.575,False,True,262.873595958,229.985623006,256.81761950333333,5.599666080708943,-0.07000000000000028,-0.7486631016042855,2.0731909735035137,5.849058599941515,1.0931245219821806,-8.700346468832908,2130.558853333333,62.25333333333332,122.06811805577689,9.275300844621514
2013,280.556040242,9.2,6.316666666666666,12.758429880478086,1.030003984063745,232.95175,3.025,False,True,277.593639546,262.873595958,273.6744252486667,1.067171676139611,-0.08000000000000007,-0.8620689655172376,1.4659715509759863,-3.006426922436345,3.052581606064253,-4.532494404569332,2143.1560999999997,58.11333333333333,117.37755490039838,9.476036653386453
2014,295.729962846,9.13,5.183333333333334,13.3021868,1.104266,236.715,2.725,False,True,280.556040242,277.593639546,284.62654754466666,5.408517525023293,-0.06999999999999851,-0.7608695652173703,1.6154632879984865,4.2619422970997745,7.209876571861784,4.341345848883682,2161.2079500000004,47.32383333333334,121.448965484,10.08194858
2015,296.433325024,9.1,4.466666666666667,15.873454183266931,1.279138645418327,237.00175,2.1,False,True,295.729962846,280.556040242,290.90644270399997,0.23783933532846024,-0.030000000000001137,-0.3285870755750375,0.12113723253701636,19.32965926524901,15.836097952696804,-5.170678189694833,2156.715925,40.64666666666667,144.44843306772907,11.640161673306775
2016,293.50060666,9.08,4.666666666666667,18.667388446215146,1.3242569721115538,240.00541666666663,2.175,False,True,296.433325024,295.729962846,295.2212981766667,-0.989334908199857,-0.019999999999999574,-0.219780219780219,1.2673605433996427,17.601299822274676,3.527242871977454,-1.2271742435283173,2179.249183333333,42.373333333333335,169.49988709163352,12.02425330677291
2017,312.666740496,9.05,4.358333333333333,18.884065863453817,1.2983746987951807,245.121,3.025,False,True,293.50060666,296.433325024,300.86689072666667,6.530185424182999,-0.02999999999999936,-0.3303964757709221,2.131444950027195,1.1607269965103306,-1.9544751405086602,7.519520332382856,2218.3450500000004,39.44291666666667,170.90079606425707,11.750291024096386
2018,343.68054051,9.02,3.9166666666666665,19.217900803212853,1.2956654618473895,251.0995,2.125,False,True,312.666740496,293.50060666,316.6159625553334,9.919123461869074,-0.030000000000001137,-0.33149171270719924,2.438999514525486,1.76781283317331,-0.2086637201345054,3.3889380376860743,2264.91749,35.32833333333333,173.34546524497992,11.686902465863453
2019,356.093584045,9.08,3.525,19.24693373493976,1.32694578313253,255.65258333333333,3.375,False,True,343.68054051,312.666740496,337.4802883503333,3.611797024230645,0.0600000000000005,0.6651884700665134,1.8132586219141489,0.15107233627749128,2.4142282252812564,-6.307326437638428,2321.3254566666665,32.007,174.76215831325302,12.048667710843372
2020,323.476917991,9.14,7.725,21.5462092,1.3422032,258.85575,1.5750000000000006,False,True,356.093584045,343.68054051,341.0836808486667,-9.159577008800646,0.0600000000000005,0.6607929515418665,1.2529373358571627,11.94619099709513,1.1498146391069275,-12.771374033031291,2365.9415550000003,70.6065,196.93235208800002,12.267737248
2021,382.56933925,9.18,5.633333333333333,20.284382730923696,1.2533385542168676,270.97341666666665,5.75,False,True,323.476917991,356.093584045,354.04661376199994,18.267894236782634,0.03999999999999915,0.4376367614879584,4.681242996018686,-5.856373422180939,-6.6208041959021084,27.42747124558328,2487.5359649999996,51.71399999999999,186.21063346987953,11.505647927710845
